 Open,Close,High,Low,Volume,RSI,MACD,Bollinger_Upper,Bollinger_Lower,Sentiment_Score,GDP_Growth,Inflation_Rate,Target
0.374638613,0.374779989,0.373509752,0.378390019,0.298908633,0.847286385,0.741715457,0.367146268,0.366420359,0.877176628,0.580868457,0.038603892,0
0.950982224,0.937745914,0.938422297,0.94615807,0.094805266,0.494542604,0.881343148,0.938396019,0.935639765,0.907191512,0.527043706,0.108907741,0
0.732197545,0.719825286,0.723644093,0.723158278,0.126348122,0.195470614,0.46317851,0.710665957,0.702300144,0.378363167,0.351052253,0.432540279,0
0.59882288,0.599865174,0.596972959,0.605322079,0.180662447,0.736683991,0.289076344,0.593792682,0.586936065,0.231613735,0.493273824,0.946349214,0
0.156052879,0.163409944,0.155891212,0.166084437,0.203645678,0.418698483,0.318761412,0.164158067,0.156355216,0.19164193,0.365116475,0.074866786,0
0.156028752,0.1729071,0.166794829,0.165806337,0.242255875,0.594659926,0.697082615,0.188214982,0.180906608,0.881970822,0.658045636,0.721408286,1
0.058089053,0.056673248,0.062732053,0.05693193,0.255454683,0.107264231,0.567617269,0.077499477,0.065521197,0.231205513,0.835201079,0.507390755,0
0.866419205,0.862608617,0.857992005,0.8674004,0.455719929,0.631618972,0.486506301,0.86291101,0.854022391,0.530838031,0.787050338,0.275862633,0
0.60128013,0.606079203,0.603584771,0.604284976,0.509579176,0.373567734,0.202621527,0.612846691,0.607921192,0.331727639,0.34070439,0.316943134,0
0.708269147,0.710685152,0.705567129,0.712457319,0.308876244,0.334204289,0.875693682,0.710610037,0.704884785,0.498932719,0.509485888,0.022837139,0
0.020578909,0.040865528,0.031184734,0.034402126,0.90732014,0.979974506,0.781203615,0.051181373,0.057837605,0.345756123,0.010561805,0.700501898,1
0.970183414,0.966227776,0.961908207,0.965953946,0.553147651,0.432451936,0.140449975,0.963775076,0.94601678,0.292935002,0.870460938,0.100402695,0
